GRUPO EN NIIF,SUPERVISOR_SUPERFINANCIERA,SUPERVISOR_SUPERSALUD,SUPERVISOR_SUPERSERVICIOS,SUPERVISOR_SUPERSOCIEDADES,SUPERVISOR_SUPERVIGILANCIA,REGION_Antioquia,REGION_Bogotá - Cundinamarca,REGION_Costa Atlantica,REGION_Costa Pacífica,REGION_Otros,MACROSECTOR_AGROPECUARIO,MACROSECTOR_COMERCIO,MACROSECTOR_CONSTRUCCION,MACROSECTOR_MANUFACTURA,MACROSECTOR_MINERO-HIDROCARBUROS,MACROSECTOR_SERVICIOS,VARIACION ACTIVOS,GANANCIA (PERDIDA) PROMEDIO,kmean,cluster
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0283045991726783,-73127240.0,0,3
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.1823798386721764,22943605.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.1587048688944556,-10710710.0,0,3
2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0102231114156737,-15000000000.0,2,2
2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-0.0070615147064202,18543365.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.2762915732058493,140556095.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0036681328522285,-44622575.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.3815475374894996,39711700.0,0,3
2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0451389271235888,21662220.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.2765323922583741,262894905.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.0756377112741429,431901975.0,0,3
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.1521108701069176,160672220.0,0,3
2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.2186932907071666,8633925.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.1640398404631779,169589985.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.0170577307461318,3236135.0,0,3
