GRUPO EN NIIF,SUPERVISOR_SUPERFINANCIERA,SUPERVISOR_SUPERSALUD,SUPERVISOR_SUPERSERVICIOS,SUPERVISOR_SUPERSOCIEDADES,SUPERVISOR_SUPERVIGILANCIA,REGION_Antioquia,REGION_Bogotá - Cundinamarca,REGION_Costa Atlantica,REGION_Costa Pacífica,REGION_Otros,MACROSECTOR_AGROPECUARIO,MACROSECTOR_COMERCIO,MACROSECTOR_CONSTRUCCION,MACROSECTOR_MANUFACTURA,MACROSECTOR_MINERO-HIDROCARBUROS,MACROSECTOR_SERVICIOS,VARIACION ACTIVOS,PROMEDIO ACTIVOS,VARIACION GANANCIA (PERDIDA),GANANCIA (PERDIDA) PROMEDIO
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.02830459917267833,2916153915.0,-0.32907402118155127,-73127240.0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.1823798386721764,1113921555.0,2.2340084722226066,22943605.0
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.1587048688944556,2823208465.0,-1.447509534471237,-10710710.0
2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.010223111415673712,9857999958.0,1.777119209341727,-20514042905.5
2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-0.0070615147064202145,1503916820.0,-0.8590313371030562,18543365.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.27629157320584935,1163917220.0,1.9063895395009738,140556095.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0036681328522285513,3640431540.0,-0.9356710883935929,-44622575.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.38154753748949966,3226668355.0,0.3653516724125197,39711700.0
2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.04513892712358888,1675248270.0,1.3153380655469746,21662220.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.27653239225837417,2547494065.0,0.33392557065652717,262894905.0
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.07563771127414294,20014268000.0,-0.6919768988852342,431901975.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.15211087010691762,2713039970.0,-0.14400366504251422,160672220.0
2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.21869329070716662,270389500.0,-0.5292567009343406,8633925.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.1640398404631779,6567464085.0,0.30253443771904476,169589985.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.0170577307461318,229405560.0,2.4381077115076044,3236135.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.05453627521523297,1337608720.0,0.21013817235697363,47535475.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.012937041300263508,2385519295.0,-2.18048414936838,-1365590.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.07469994094361396,2935479575.0,-0.07513145785939655,83268100.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.059984582128581446,2069688500.0,-0.9355815934319577,-7666745.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.4147042072259155,6064454495.0,-0.9197621978290694,-238460545.0
